Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CURA_TestSuite_History_Logout_01,Chrome 121.0.0.0,,,01-02-2024 13:10:23,01-02-2024 13:10:53,29.786s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_Login_01,Chrome 121.0.0.0,,,01-02-2024 13:10:23,01-02-2024 13:10:34,10.449s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:10:23,01-02-2024 13:10:26,2.123s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:10:26,01-02-2024 13:10:28,2.472s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,01-02-2024 13:10:28,01-02-2024 13:10:29,0.786s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78""))",Chrome 121.0.0.0,,,01-02-2024 13:10:29,01-02-2024 13:10:29,0.356s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""))",Chrome 121.0.0.0,,,01-02-2024 13:10:29,01-02-2024 13:10:30,0.374s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/body_CURA Healthcare                       _fb9a78_1""))",Chrome 121.0.0.0,,,01-02-2024 13:10:30,01-02-2024 13:10:30,0.385s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:10:30,01-02-2024 13:10:31,1.024s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:10:31,01-02-2024 13:10:32,0.717s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Login_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:10:32,01-02-2024 13:10:33,1.440s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:10:33,01-02-2024 13:10:34,0.460s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_History/TC_CURA_History_01,Chrome 121.0.0.0,,,01-02-2024 13:10:34,01-02-2024 13:10:43,9.361s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:10:34,01-02-2024 13:10:34,0.760s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:10:34,01-02-2024 13:10:37,2.579s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_History_01_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 121.0.0.0,,,01-02-2024 13:10:37,01-02-2024 13:10:37,0.451s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_History_01_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:10:37,01-02-2024 13:10:38,0.904s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_History_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:10:38,01-02-2024 13:10:39,0.991s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TC_CURA_History_01_OR/Page_CURA Healthcare Service/input_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 121.0.0.0,,,01-02-2024 13:10:39,01-02-2024 13:10:40,0.558s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_History_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:10:40,01-02-2024 13:10:41,1.457s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_History_01_OR/Page_CURA Healthcare Service/i_fa fa-bars""))",Chrome 121.0.0.0,,,01-02-2024 13:10:41,01-02-2024 13:10:42,0.476s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_History_01_OR/Page_CURA Healthcare Service/a_History""))",Chrome 121.0.0.0,,,01-02-2024 13:10:42,01-02-2024 13:10:43,0.788s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,01-02-2024 13:10:43,01-02-2024 13:10:43,0.338s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logout/TC_CURA_Logout_01,Chrome 121.0.0.0,,,01-02-2024 13:10:43,01-02-2024 13:10:53,9.665s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,01-02-2024 13:10:43,01-02-2024 13:10:44,0.776s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,01-02-2024 13:10:44,01-02-2024 13:10:46,2.532s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Logout_01_OR/Page_CURA Healthcare Service/amenu-toggle""))",Chrome 121.0.0.0,,,01-02-2024 13:10:46,01-02-2024 13:10:47,0.418s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_Logout_01_OR/Page_CURA Healthcare Service/a_Login""))",Chrome 121.0.0.0,,,01-02-2024 13:10:47,01-02-2024 13:10:48,0.854s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_Logout_01_OR/Page_CURA Healthcare Service/input_username""), ""John Doe"")",Chrome 121.0.0.0,,,01-02-2024 13:10:48,01-02-2024 13:10:49,1.034s,PASSED
