Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_CURA_TestSuite_Login,Chrome 121.0.0.0,,,02-02-2024 00:04:51,02-02-2024 00:05:30,38.580s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_DDT_Login_01,Chrome 121.0.0.0,,,02-02-2024 00:04:52,02-02-2024 00:05:08,16.377s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 00:04:52,02-02-2024 00:04:55,2.768s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 00:04:55,02-02-2024 00:05:02,7.352s,PASSED
"click(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,02-02-2024 00:05:02,02-02-2024 00:05:03,1.107s,PASSED
"setText(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/input_Username_username""), Username)",Chrome 121.0.0.0,,,02-02-2024 00:05:03,02-02-2024 00:05:04,1.118s,PASSED
"setText(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/input_Password_password""), Password)",Chrome 121.0.0.0,,,02-02-2024 00:05:04,02-02-2024 00:05:05,0.867s,PASSED
"click(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 00:05:05,02-02-2024 00:05:08,2.266s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,02-02-2024 00:05:08,02-02-2024 00:05:08,0.539s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_DDT_Login_01,Chrome 121.0.0.0,,,02-02-2024 00:05:08,02-02-2024 00:05:20,12.268s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 00:05:08,02-02-2024 00:05:09,0.780s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 00:05:09,02-02-2024 00:05:15,5.764s,PASSED
"click(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,02-02-2024 00:05:15,02-02-2024 00:05:16,1.051s,PASSED
"setText(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/input_Username_username""), Username)",Chrome 121.0.0.0,,,02-02-2024 00:05:16,02-02-2024 00:05:17,1.042s,PASSED
"setText(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/input_Password_password""), Password)",Chrome 121.0.0.0,,,02-02-2024 00:05:17,02-02-2024 00:05:18,1.119s,PASSED
"click(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 00:05:18,02-02-2024 00:05:20,2.005s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,02-02-2024 00:05:20,02-02-2024 00:05:20,0.484s,PASSED
,,,,,,,
Test Cases/TC_CURA_Logins/TC_CURA_DDT_Login_01,Chrome 121.0.0.0,,,02-02-2024 00:05:20,02-02-2024 00:05:30,9.528s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,02-02-2024 00:05:20,02-02-2024 00:05:21,0.793s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 121.0.0.0,,,02-02-2024 00:05:21,02-02-2024 00:05:26,4.421s,PASSED
"click(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 121.0.0.0,,,02-02-2024 00:05:26,02-02-2024 00:05:27,0.962s,PASSED
"setText(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/input_Username_username""), Username)",Chrome 121.0.0.0,,,02-02-2024 00:05:27,02-02-2024 00:05:28,1.025s,PASSED
"setText(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/input_Password_password""), Password)",Chrome 121.0.0.0,,,02-02-2024 00:05:28,02-02-2024 00:05:29,0.851s,PASSED
"click(findTestObject(""TC_CURA_DDT_Login_01_OR/Page_CURA Healthcare Service/button_Login""))",Chrome 121.0.0.0,,,02-02-2024 00:05:29,02-02-2024 00:05:30,1.126s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,02-02-2024 00:05:30,02-02-2024 00:05:30,0.323s,PASSED
