Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC_CURA_MakeAppointmentTL_TestSuite,Chrome 121.0.0.0,,,04-02-2024 16:18:47,04-02-2024 16:19:02,14.809s,PASSED
,,,,,,,
Test Cases/TC_CURA_Make_Appointments/TC_CURA_MakeAppointmentTL,Chrome 121.0.0.0,,,04-02-2024 16:18:53,04-02-2024 16:19:02,8.719s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 121.0.0.0,,,04-02-2024 16:18:53,04-02-2024 16:18:56,2.863s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/TC_CURA_MakeAppointmentTL_OR/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 121.0.0.0,,,04-02-2024 16:18:56,04-02-2024 16:18:58,1.197s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_MakeAppointmentTL_OR/Page_CURA Healthcare Service/input_programs""))",Chrome 121.0.0.0,,,04-02-2024 16:18:58,04-02-2024 16:18:58,0.421s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_MakeAppointmentTL_OR/Page_CURA Healthcare Service/span_glyphicon glyphicon-calendar""))",Chrome 121.0.0.0,,,04-02-2024 16:18:58,04-02-2024 16:18:58,0.444s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_MakeAppointmentTL_OR/Page_CURA Healthcare Service/td_1""))",Chrome 121.0.0.0,,,04-02-2024 16:18:58,04-02-2024 16:18:59,0.526s,PASSED
"setText(findTestObject(""Object Repository/TC_CURA_MakeAppointmentTL_OR/Page_CURA Healthcare Service/textarea_comment""), ""Book my appointment on 01/02/2024"")",Chrome 121.0.0.0,,,04-02-2024 16:18:59,04-02-2024 16:19:00,0.926s,PASSED
"click(findTestObject(""Object Repository/TC_CURA_MakeAppointmentTL_OR/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 121.0.0.0,,,04-02-2024 16:19:00,04-02-2024 16:19:01,0.644s,PASSED
Start listener action : sampleAfterTestCase,Chrome 121.0.0.0,,,04-02-2024 16:19:01,04-02-2024 16:19:02,1.587s,PASSED
